标题,价格,户型,面积,朝向,楼层,装修,种类,位置,标签,概况,设施,链接,行政区,price,tj1
"（免租龤个月）近驋,鸺号线地铁 公交直达科技园，世界之窗",1500,1室0厅1卫,14平方米,朝南,高层(共7层),精装修,公寓,西丽城市公寓 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1387746969707525?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKP1cvPjDYP9DKnHn3P10YPWbvrH0kP1NzPEDkTHDknTDQsjDkTHEKnHmkn1E1PH03P1EdPTD1PEZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQPkDKsHDKTHD1nHbYPHNzn1mLP1bQPHNYPHmKP97Jpy7ZuHCkg1cdnjTKnE7bmy7hmvDvnadBrycksHw6nhnVrjDLPBYOnhRWPjRWnyc3uANKnHnQrHEdPHc1PW9LnHE1njDYPTDQn1DOPjNdnWnvrjDvrHT3nW93TEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknH0f5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDLrAmvuH7hmzYdPh7WsHEvnvcVrADvPiY3PWNkrH-hPWwbnHmKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UTDOnAc1n1EvPAw6mHbLuAc1&lego_tid=78f6e1fc-56ac-463b-8a65-865099f64d16,南山,"(1000.0, 1500.0]",True
西丽 单间 家私家电全拎包入住 有阳台有厨房 温馨舒适,980,1室0厅1卫,14.5平方米,朝南,中层(共9层),精装修,公寓,西丽九祥岭 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1277015548370957?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadhmHFWnWcdPzYOPWIWsHwWP1TVmWn3nzYLm1DzuHbvn1mLrHcKnHTkPWNvn1bvTEDQnW0LnjDdPHE3n10krHNLTHTKnHTkTHD_nHTKPTDQPWT1PjndrjnQrjnLTHEzTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHD3TEDVnEDKnHnQrj0znjmLrjEknjDkPWEOP9DvTyGGmNI-rWKxnWNknTDQTHm1P1mdPvFhsymkrH9VPjTdmzd6PAczsHTkPym1uHK-uANvn9DQn1D3P1ckPW03Pj0OrjTzn1m3THD1nH9LnWTvP19Yn1nvPWTOnW9KTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQrat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1Tyn1PW9QPANLsyR-nj9VPjEvuBY3mH-6sywWnW9vuyc1uywbm9DKPTDKTHnKPakQrjDQsjD3PjDKnE78IyQ_TyR-rjP-njcYnAF6mWndPHD&lego_tid=c36814e7-ee08-446f-8a9a-dc286eb3eddb,南山,"(500.0, 1000.0]",True
南山西丽泰寓大磡分店 现特技出租 五号线 七号线 阳台停车位,800,1室0厅1卫,13平方米,南北,中层(共8层),精装修,公寓,九祥岭综合楼 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,空调,衣柜,床,卫生间,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1591730807840776?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadhmHFWnWcdPzYOPWIWsHwWP1TVmWn3nzYLm1DzuHbvn1mLrHcKP1NYnWT1PEDKnHNOnH01nj9kP19Ynj0LP9DkTHDknTDQsjDkTHEKnHmkn1E1PH91nH91rTDdnkZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQrTDKsHDKTHD1nHbdnHcOPHbkrjEYnj93n1cKP97Jpy7ZuHCkg1cdnjTKnE76uhEkmWmknidbrH7bsHwBmW0VmhFBmzYQnjR6rjEvPWb3rHEKnHnQrHNQnWbdrHcLP1nYPW9QP9DQn1DOPHDzrHNOnWnQnWTdn10vTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknH9f5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDknj-bPvEduaYznjDvsHEvPHDVmyPWraYOuWDknW0kmhuBmWNKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UTDOnWI6PHFhrjw6rAcLnj-b&lego_tid=009d7d5d-2016-4651-acc8-9f10270bfbb5,南山,"(500.0, 1000.0]",True
青年公寓  直租 家私家电全拎包入住 有阳台有厨房 温馨舒适,980,1室0厅1卫,14平方米,朝南,中层(共8层),精装修,公寓,西丽九祥岭 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1366376685691912?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY1n19duW7WPiYYPhP6sHEkm10VmHD3miYvP1nYmvw6PyN3ujTKnHTkPWNvn1bvTEDQn1mvn10vPW9dPWbQrHDzTHTKnHTkTHD_nHTKPTDQPWT1Pjndrj0LP1bvTHnKOplFOUA7OplBOev8lpAvsRKjOlXxOCB4OlvUlmaFOmBgl2AClpAdTHDKnHbKTiYQTEDQn1D3P1cknW9znHD1rj0drHm3THmKph-6wvNln7tzPHTkTHDKuH0OPAmdrAmVnhcvriYYnyFWsH-hmhEVrHbOP1IWnH6bPWEvTHD1nH9LnWTzrjcznHEdn1bzPWEKnHnQrj0znjc3nWDvnjTQn1nQn9DKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jDOs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjNYTHDknjc1nWnKujDQnWnQmWEVmWEOraYYn1IbsHbLPHcVrHDduHwbn193uWn3TEDYTEDKnkDYsjD3nHD_nH9YnEDQTyOdUAkKPWbLPH9kPAuWPjELn1KBPT&lego_tid=d11231b4-b498-437d-9752-915e4d388f38,南山,"(500.0, 1000.0]",True
"餼,龥号线周边房源 多种户型可选 复式麣麣齤龒起租",980,1室0厅1卫,14平方米,朝南,中层(共8层),精装修,公寓,西丽九祥岭 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1367772416531463?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY1n19duW7WPiYYPhP6sHEkm10VmHD3miYvP1nYmvw6PyN3ujTKP1cvPjDYP9DKnHnvP10LnWEQPWN1nHEvnkDkTHDknTDQsjDkTHEKnHmkn1E1PH9LP10OPkDQP9Z-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQrEDKsHDKTHD1nHbYPH0dnWTdrH9vPHbkP1nKP97Jpy7ZuHCkg1cdnjTKnE7Wuj9dmWcQriYzrHnzsHE1nW0VmWNOnBYQnyckuyPBPvRBPH0KnHnQrHEdP1NznjmOrHnQrjcLn9DQn1DOPjNLPHckPWEYP1bzn1ckTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHbf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkD3nW--Pvn1mBYYPyFhsHwbPhnVmW7-PaYLnvnYnjmzrjR-nhmKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UT7brjbkuHNdnjn1rywWPycv&lego_tid=829e7c3b-45bf-4d6c-b1e4-73c406285e2f,南山,"(500.0, 1000.0]",True
南山西丽 泰寓大磡分店公寓特价直租无中介 五号线七号线 租房,800,1室0厅1卫,12平方米,南北,共5层,精装修,公寓,九祥岭西区 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1591730101477388?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY1n19duW7WPiYYPhP6sHEkm10VmHD3miYvP1nYmvw6PyN3ujTKP1NYnWT1PEDKnHNOnH01njDknHELP1n3rTDkTHDknTDQsjDkTHEKnHmkn1E1PH9LP10OPkDzPTZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQrEDKsHDKTHD1nHbdnHc3P1b3PH9znjTdP1mKP97Jpy7ZuHCkg1cdnjTKnE7WPWmznHNQnaYzrjDQsHwBnyDVmWwhPzY3P10kujNYuHNzPj0KnHnQrHNQnW93njT3njEOrjm3rTDQn1DOPHDzrj9knjcdrHm3PWEkTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHbf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDzuHF-P1nOraYYrANOsHwhPvDVrj93uidbnADYrAcvPhwbmvmKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UTDdujPhPjw6uWKbPywbmH0O&lego_tid=2e2e7398-48e9-4f7a-888e-d0a48b66ddcf,南山,"(500.0, 1000.0]",True
南山西丽泰寓大磡分店 现特技出租 五号线 七号线 阳台停车位,800,1室0厅1卫,13平方米,南北,中层(共8层),精装修,公寓,九祥岭综合楼 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,空调,衣柜,床,卫生间,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1591730807840776?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY1n19duW7WPiYYPhP6sHEkm10VmHD3miYvP1nYmvw6PyN3ujTKP1NYnWT1PEDKnHNOnH01nj9kP19Ynj0LP9DkTHDknTDQsjDkTHEKnHmkn1E1PH9LP10OrEDdPTZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQrEDKsHDKTHD1nHbdnHcOPHbkrjEYnj93n1cKP97Jpy7ZuHCkg1cdnjTKnEDQrjDQuHbznadWnAE3sHw-rAmVmHRWnadWPvFbmvFBrymdmWEKnHnQrHNQnWbdrHcLP1nYPW9QP9DQn1DOPHDzrHNOnWnQnWTdn10vTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknHbf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkD3rj-WPHDkniYvmyuWsHEknjEVmyNLPzYYnhFWmyn3P1IbmvmKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UTDOmHIBnHFWnhEQnyNvmWI-&lego_tid=889c5101-6afc-4004-ae77-42bcac877dcf,南山,"(500.0, 1000.0]",True
青年公寓  直租 家私家电全拎包入住 有阳台有厨房 温馨舒适,980,1室0厅1卫,14平方米,朝南,中层(共8层),精装修,公寓,西丽九祥岭 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1366376685691912?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYvnvFbrHNzradhP1wWsHE1mWnVmyNQPzYzuHNduj66Pj-BrymKnHTkPWNvn1bvTEDQn1mvn10vPW9dPWbQrHDzTHTKnHTkTHD_nHTKPTDQPWT1PjndrHc1Pj0vTHcKOplFOUA7OplBOev8lpAvsRKjOlXxOCB4OlvUlmaFOmBgl2AClpAdTHDKnWTKTiYQTEDQn1D3P1cknW9znHD1rj0drHm3THmKph-6wvNln7tzPHTkTHDKnARhPj9QPWcVPvcvPiYYmWDOsH66myEVujmOmyNYmWFbPyN1THD1nH9LnWTzrjcznHEdn1bzPWEKnHnQrj0znjc3nWDvnjTQn1nQn9DKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jcks1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjNYTHDknjc1nWnKrH9vnjEkrANVPhRBPzYYuHKbsHbvmvmVPAFWmWF6rjw6rHN3TEDYTEDKnkDYsjD3nHD_nH9YnEDQTyOdUAkKPhFbmyELuW-WuhFbujnzm9&lego_tid=9860408e-6eb7-4e0d-96cf-4bcb2a84a958,南山,"(500.0, 1000.0]",True
南山西丽 泰寓大磡分店公寓特价直租无中介 五号线七号线 租房,800,1室0厅1卫,12平方米,南北,共5层,精装修,公寓,九祥岭西区 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1591730101477388?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYvnvFbrHNzradhP1wWsHE1mWnVmyNQPzYzuHNduj66Pj-BrymKP1NYnWT1PEDKnHNOnH01njDknHELP1n3rTDkTHDknTDQsjDkTHEKnHmkn1E1PHbzn1ELPkDQnTZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDznTDKsHDKTHD1nHbdnHc3P1b3PH9znjTdP1mKP97Jpy7ZuHCkg1cdnjTKnE7bnW66rjELnBYvPWIbsHE3mvnVrjndPidBnjP6rH-hPjD3ujnKnHnQrHNQnW93njT3njEOrjm3rTDQn1DOPHDzrj9knjcdrHm3PWEkTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknWTf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznk7Wm1NQnAuhniYvnHcdsHwbnAmVmyNzuaYznynLPHTzrjEknHTKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UT7BnAwWPWDvuyPBuH-bnWcd&lego_tid=cc510ff1-6125-4d0f-ae2d-21c750284010,南山,"(500.0, 1000.0]",True
免中介 近地铁站 阳光充足 随时看随时住 带家私 拎包入住,900,1室0厅1卫,20平方米,南北,低层(共15层),精装修,公寓,新南村 (南山南山中心区),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1676566256050185?isauction=6&shangquan_id=11994&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYvnvFbrHNzradhP1wWsHE1mWnVmyNQPzYzuHNduj66Pj-BrymKnWTknW9zrjcOTEDQPW0vPHmvnWNvnjNknH9dTHTKnHTkTHD_nHTKPTDQPWT1PjndrHc1Pj0LTHD1TXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHckTEDVnEDKnHnQrHnzrHEQn1ELnWEvnj9knTDvTyGGmNI-rWKxnWNknTDQTHFWuy7Wm1TOsHPbP1TVPAw-Pad6uhn3sHDdPjwWPjR-uWDzmEDQn1DOn1cOPjD1PHmYP1ndPj93THD1nHb1nWbYnHndnHTznjbdn1mKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTznat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THR6myDdmWczsy7BP10VPjbvnaY3P1czsHTdP1KWnvEQPvm3uTDKPTDKTHnKPakQrjDQsjDQrHbYTHDKUMR_UTDknjD3PjFhuADvnvDQnWu-&lego_tid=5aaa5b22-ab77-4960-8722-0570c3d17f8d,南山,"(500.0, 1000.0]",True
南山西丽泰寓大磡分店 现特技出租 五号线 七号线 阳台停车位,800,1室0厅1卫,13平方米,南北,中层(共8层),精装修,公寓,九祥岭综合楼 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,空调,衣柜,床,卫生间,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1591730807840776?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYvnvFbrHNzradhP1wWsHE1mWnVmyNQPzYzuHNduj66Pj-BrymKP1NYnWT1PEDKnHNOnH01nj9kP19Ynj0LP9DkTHDknTDQsjDkTHEKnHmkn1E1PHbzn1ELrTDzP9Z-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDznTDKsHDKTHD1nHbdnHcOPHbkrjEYnj93n1cKP97Jpy7ZuHCkg1cdnjTKnEDYmHIBnHwBmid-PWF-sHEznyEVmhR-uaYOnHK-uhw-PADLuyEKnHnQrHNQnWbdrHcLP1nYPW9QP9DQn1DOPHDzrHNOnWnQnWTdn10vTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknWTf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDkrH76uW6-PadhrHwBsHwhrHcVrHnOnidhP1ckrH01uyczmHTKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UT7hrHuWP1DQnyN1njTzPjDz&lego_tid=091af8e4-f94b-4f92-9391-f720973eb2a0,南山,"(500.0, 1000.0]",True
公寓直租 门口公交站直达科技园 精装一房一 家电齐全随时入住,999,1室1厅1卫,38平方米,朝南,中层(共12层),精装修,公寓,九祥岭西区 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1645284182318085?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQPAR6nvEvPadhrHn1sHEkryDVrHNdnBYQnvn1nhDvP1NYrynKnHTkn1T1rjN3TEDQPWEdnW9YnH9zn1D3nj9dTHTKnHTkTHD_nHTKPTDQPWT1PjndrHmLrHc3THcKOplFOUA7OplBOev8lpAvsRKjOlXxOCB4OlvUlmaFOmBgl2AClpAdTHDKnWDKTiYQTEDQn1D3rjNdrHb3nWEknWTzP1N1THmKph-6wvNln7tzPHTkTHDKPhwbnHE1rHNVuHIhmiYYPjNOsyD1PyNVuH76rjn1PW6bnvmOTHD1nH93PHNOrH91PjT3PWmkPj9KnHnQrj9dPHbOrjc3PWnYnjTOP9DKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jcQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjNYTHDknjc1nWnKPvcOPHmYrH9Vmyn3mBYYujwbsyDLuAEVn1c1PjD1mHmdmHIWTEDYTEDKnkDYsjD3nHD_nH9YnEDQTyOdUAkKmWIBrjcduyw-njTQnvm3m9&lego_tid=7b956498-ac8b-4d4d-a7dd-323413a65a7c,南山,"(500.0, 1000.0]",True
免中介 近地铁站 阳光充足 随时看随时住 带家私 拎包入住,900,1室0厅1卫,20平方米,南北,低层(共15层),精装修,公寓,新南村 (南山南山中心区),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1676566256050185?isauction=6&shangquan_id=11994&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQPAR6nvEvPadhrHn1sHEkryDVrHNdnBYQnvn1nhDvP1NYrynKnWTknW9zrjcOTEDQPW0vPHmvnWNvnjNknH9dTHTKnHTkTHD_nHTKPTDQPWT1PjndrHmLrHnkTHnkTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHcQTEDVnEDKnHnQrHnzrHEQn1ELnWEvnj9knTDvTyGGmNI-rWKxnWNknTDQTHNYnHEdnjEzsHEdrjcVPjRhnad6uARhsHI6PHbOP1NvPHRBuEDQn1DOn1cOPjD1PHmYP1ndPj93THD1nHb1nWbYnHndnHTznjbdn1mKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTznit4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TH0vuhnOrAR6sH6bPvNVPjNQuBd6ryPhsHbQPjuWuyubuywWnEDKPTDKTHnKPakQrjDQsjDQrHbYTHDKUMR_UTDLuHw-ry7-nHP-PjDvmyE1&lego_tid=76fc98ea-8d7e-451f-a9cf-9146cefdedc1,南山,"(500.0, 1000.0]",True
深圳租房鑶号线茶光站 精装复式家电齐全 温馨舒适 拎包入住,950,1室0厅1卫,100平方米,东南,中层(共6层),精装修,公寓,石鼓花园 (南山西丽),True,True,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1600240844480527?isauction=6&shangquan_id=1841&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3mWbdnWwBnBYdPWu-sHw-n1DVmhEkmBYvuWnzujEdn1cOPhcKP1EvrH9OPTDKnHmknjcYnj9YPjE3njNzPkDkTHDknTDQsjDkTHEKnHmkn1E1PWTkrj93P9DQnkZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDzn9DKsHDKTHD1nHbdnHNkrjn3nHnOPH0vn1cKP97Jpy7ZuHCkg1cdnjTKnED1njwWPWIhPzYLPvR6sHEzrHbVrHRWmzdWnvDYnWFbujwBm1bKnHnQrHNQPHT3n1bzn1TkPHEYnTDQn1DOPHDdnj91rjmYnW9dnH9YTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknWcf5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDOujnLPjbYuaYvmymLsHwhP1EVmWTYmidWmHT3PH01rjmkPAEKTHEKTED1THE_nH9QnikQrjEQTHDKUMR_UTDvuAuhmvDzuhDYmHmYP1cQ&lego_tid=9d37494d-6af7-4f74-b04a-ca085738604d,南山,"(500.0, 1000.0]",True
